date,country,country_code,country_grade,country_grade_letter,short_term_risk_level,short_term_risk_value,country_grade_numeric,zscore_grade,zscore_risk
2023-01-01,Afghanistan,AFG,D,D,4 (High),4.0,22.0,0.9085035987399755,1.2696250173552184
2023-02-01,Afghanistan,,,,,,,0.9085035987399755,1.2696250173552184
2023-03-01,Afghanistan,,,,,,,0.9085035987399755,1.2696250173552184
2023-04-01,Afghanistan,AFG,D,D,4 (High),4.0,22.0,0.9140098520767564,1.2779653712251136
2023-05-01,Afghanistan,,,,,,,0.9140098520767564,1.2779653712251136
2023-06-01,Afghanistan,,,,,,,0.9140098520767564,1.2779653712251136
2023-07-01,Afghanistan,AFG,D,D,4 (High),4.0,22.0,0.9190003904519592,1.286395771805557
2023-08-01,Afghanistan,,,,,,,0.9190003904519592,1.286395771805557
2023-09-01,Afghanistan,,,,,,,0.9190003904519592,1.286395771805557
2023-10-01,Afghanistan,AFG,D,D,4 (High),4.0,22.0,0.9206242305734492,1.2811997768564642
2023-11-01,Afghanistan,,,,,,,0.9206242305734492,1.2811997768564642
2023-12-01,Afghanistan,,,,,,,0.9206242305734492,1.2811997768564642
2024-01-01,Afghanistan,AFG,D,D,4 (High),4.0,22.0,0.9234030727429586,1.3026748725598023
2024-02-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2024-03-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2024-04-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2024-05-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2024-06-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2024-07-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2024-08-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2024-09-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2024-10-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2024-11-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2024-12-01,Afghanistan,,,,,,,0.9234030727429586,1.3026748725598023
2025-01-01,Afghanistan,AFG,D,D,4 (High),4.0,22.0,0.9741131055669616,1.4362124740535651
2025-02-01,Afghanistan,,,,,,,0.9741131055669616,1.4362124740535651
2025-03-01,Afghanistan,,,,,,,0.9741131055669616,1.4362124740535651
2025-04-01,Afghanistan,AFG,D,D,4 (High),4.0,22.0,0.9749937655246032,1.4362124740535651
2023-01-01,Albania,ALB,D,D,3 (Sensitive),3.0,22.0,0.9085035987399755,0.4162015785369756
2023-02-01,Albania,,,,,,,0.9085035987399755,0.4162015785369756
2023-03-01,Albania,,,,,,,0.9085035987399755,0.4162015785369756
2023-04-01,Albania,ALB,C,C,3 (Sensitive),3.0,21.0,0.7763659351838916,0.424587179255712
2023-05-01,Albania,,,,,,,0.7763659351838916,0.424587179255712
2023-06-01,Albania,,,,,,,0.7763659351838916,0.424587179255712
2023-07-01,Albania,ALB,C,C,3 (Sensitive),3.0,21.0,0.7808099613691831,0.4330024983528509
2023-08-01,Albania,,,,,,,0.7808099613691831,0.4330024983528509
2023-09-01,Albania,,,,,,,0.7808099613691831,0.4330024983528509
2023-10-01,Albania,ALB,C,C,3 (Sensitive),3.0,21.0,0.783409312213383,0.4367726512010673
2023-11-01,Albania,,,,,,,0.783409312213383,0.4367726512010673
2023-12-01,Albania,,,,,,,0.783409312213383,0.4367726512010673
2024-01-01,Albania,ALB,C,C,3 (Sensitive),3.0,21.0,0.7861769938507034,0.45780906064402
2024-02-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2024-03-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2024-04-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2024-05-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2024-06-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2024-07-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2024-08-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2024-09-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2024-10-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2024-11-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2024-12-01,Albania,,,,,,,0.7861769938507034,0.45780906064402
2025-01-01,Albania,ALB,B,B,2 (Medium),2.0,15.0,0.0141861131878684,-0.2297939958485705
2025-02-01,Albania,,,,,,,0.0141861131878684,-0.2297939958485705
2025-03-01,Albania,,,,,,,0.0141861131878684,-0.2297939958485705
2025-04-01,Albania,ALB,BB,BB,2 (Medium),2.0,12.0,-0.4071552177260565,-0.2297939958485705
2023-01-01,Algeria,DZA,C,C,3 (Sensitive),3.0,21.0,0.7708720834084719,0.4162015785369756
2023-02-01,Algeria,,,,,,,0.7708720834084719,0.4162015785369756
2023-03-01,Algeria,,,,,,,0.7708720834084719,0.4162015785369756
