Alpha3,Country,Year,Fitch,Moody,S&P
AGO,Angola,2006,14.502156611123691,14.166666666666677,15.2563445584831
AGO,Angola,2007,14.502156611123691,14.166666666666677,15.2563445584831
AGO,Angola,2008,14.502156611123691,14.166666666666677,15.2563445584831
AGO,Angola,2009,14.502156611123691,14.166666666666677,15.2563445584831
AGO,Angola,2010,14.0,14.0,14.734496109916757
AGO,Angola,2011,13.0,13.0,13.0
AGO,Angola,2012,13.0,12.666666666666666,13.25
AGO,Angola,2013,13.0,12.333333333333334,13.5
AGO,Angola,2014,13.0,12.0,13.658553658230623
AGO,Angola,2015,13.0,12.0,14.0
AGO,Angola,2016,14.0,12.0,15.0
AGO,Angola,2017,15.0,14.0,16.0
AGO,Angola,2018,15.0,15.0,16.333333333333332
AGO,Angola,2019,15.0,15.5,16.666666666666668
AGO,Angola,2020,16.0,16.0,17.0
AGO,Angola,2021,16.0,16.0,16.5
AGO,Angola,2022,16.0,16.0,16.0
AGO,Angola,2023,15.76617458342762,16.0,16.60105930454948
AGO,Angola,2024,15.76617458342762,16.0,16.60105930454948
ALB,Albania,2006,,14.0,14.181818181818182
ALB,Albania,2007,,14.0,14.181818181818182
ALB,Albania,2008,,14.0,14.181818181818182
ALB,Albania,2009,,14.0,14.181818181818182
ALB,Albania,2010,,14.0,14.0
ALB,Albania,2011,,14.0,14.333333333333334
ALB,Albania,2012,,14.0,14.666666666666666
ALB,Albania,2013,,14.0,15.0
ALB,Albania,2014,,14.0,14.666666666666666
ALB,Albania,2015,,14.0,14.333333333333334
ALB,Albania,2016,,14.0,14.0
ALB,Albania,2017,,14.0,14.0
ALB,Albania,2018,,14.0,14.0
ALB,Albania,2019,,14.0,14.181818181818182
ALB,Albania,2020,,14.0,14.181818181818182
ALB,Albania,2021,,14.0,14.181818181818182
ALB,Albania,2022,,14.0,14.181818181818182
ALB,Albania,2023,,14.0,14.0
ALB,Albania,2024,,14.0,13.0
ARE,United Arab Emirates,2006,0.5090970100275118,4.0,3.0
ARE,United Arab Emirates,2007,3.0,3.0,3.0
ARE,United Arab Emirates,2008,3.0,3.0,3.0
ARE,United Arab Emirates,2009,3.0,3.0,3.0
ARE,United Arab Emirates,2010,3.392602010517185,3.1024460666475107,3.0
