Year,Alpha3,Country,Fitch,Moody,S&P
2006,AGO,Angola,14.502156611123691,14.166666666666677,15.2563445584831
2007,AGO,Angola,14.502156611123691,14.166666666666677,15.2563445584831
2008,AGO,Angola,14.502156611123691,14.166666666666677,15.2563445584831
2009,AGO,Angola,14.502156611123691,14.166666666666677,15.2563445584831
2010,AGO,Angola,14.0,14.0,14.734496109916757
2011,AGO,Angola,13.0,13.0,13.0
2012,AGO,Angola,13.0,12.666666666666666,13.25
2013,AGO,Angola,13.0,12.333333333333334,13.5
2014,AGO,Angola,13.0,12.0,13.658553658230623
2015,AGO,Angola,13.0,12.0,14.0
2016,AGO,Angola,14.0,12.0,15.0
2017,AGO,Angola,15.0,14.0,16.0
2018,AGO,Angola,15.0,15.0,16.333333333333332
2019,AGO,Angola,15.0,15.5,16.666666666666668
2020,AGO,Angola,16.0,16.0,17.0
2021,AGO,Angola,16.0,16.0,16.5
2022,AGO,Angola,16.0,16.0,16.0
2023,AGO,Angola,15.76617458342762,16.0,16.60105930454948
2024,AGO,Angola,15.76617458342762,16.0,16.60105930454948
2006,ALB,Albania,,14.0,14.181818181818182
2007,ALB,Albania,,14.0,14.181818181818182
2008,ALB,Albania,,14.0,14.181818181818182
2009,ALB,Albania,,14.0,14.181818181818182
2010,ALB,Albania,,14.0,14.0
2011,ALB,Albania,,14.0,14.333333333333334
2012,ALB,Albania,,14.0,14.666666666666666
2013,ALB,Albania,,14.0,15.0
2014,ALB,Albania,,14.0,14.666666666666666
2015,ALB,Albania,,14.0,14.333333333333334
2016,ALB,Albania,,14.0,14.0
2017,ALB,Albania,,14.0,14.0
2018,ALB,Albania,,14.0,14.0
2019,ALB,Albania,,14.0,14.181818181818182
2020,ALB,Albania,,14.0,14.181818181818182
2021,ALB,Albania,,14.0,14.181818181818182
2022,ALB,Albania,,14.0,14.181818181818182
2023,ALB,Albania,,14.0,14.0
2024,ALB,Albania,,14.0,13.0
2006,ARE,United Arab Emirates,0.5090970100275118,4.0,3.0
2007,ARE,United Arab Emirates,3.0,3.0,3.0
2008,ARE,United Arab Emirates,3.0,3.0,3.0
2009,ARE,United Arab Emirates,3.0,3.0,3.0
2010,ARE,United Arab Emirates,3.392602010517185,3.1024460666475107,3.0
2011,ARE,United Arab Emirates,3.0,3.148316626601536,3.0
2012,ARE,United Arab Emirates,3.0,3.148316626601536,3.0
2013,ARE,United Arab Emirates,3.0,3.148316626601536,3.0
2014,ARE,United Arab Emirates,3.0,3.148316626601536,3.0
2015,ARE,United Arab Emirates,3.0,3.148316626601536,3.0
2016,ARE,United Arab Emirates,3.0,3.0,3.0
2017,ARE,United Arab Emirates,3.0,3.0,3.0
