date,country,economic_risk_pillar_score,trailing_12m_avg
2006-01-01,AUS,0.22292759292428938,0.22292759292428938
2007-01-01,AUS,0.23162799660479116,0.22727779476454027
2008-01-01,AUS,-0.7260339000166062,-0.09049277016250855
2009-01-01,AUS,-1.5080520966305382,-0.44488260177951594
2010-01-01,AUS,-1.4069458397671708,-0.637295249377047
2011-01-01,AUS,-0.5151541665018174,-0.6169384022311754
2012-01-01,AUS,-1.300305707064903,-0.7145623029217079
2013-01-01,AUS,-1.1830365940984962,-0.7731215893188064
2014-01-01,AUS,-0.7527496578209216,-0.770858041374597
2015-01-01,AUS,-0.007959040294276482,-0.6945681412665649
2016-01-01,AUS,-0.2783238381511668,-0.656727750074256
2017-01-01,AUS,0.28088658013299056,-0.5785932225569854
2018-01-01,AUS,0.36806805700740197,-0.5664981838833928
2019-01-01,AUS,-0.03260512762162785,-0.588517610902261
2020-01-01,AUS,-0.3570749716288856,-0.5577710335366176
2021-01-01,AUS,-1.1171835078984418,-0.5251986511422763
2022-01-01,AUS,-0.22024881012239372,-0.4263072320052115
2023-01-01,AUS,-0.6223987614117111,-0.43524428158103595
2024-01-01,AUS,0.17745681197087254,-0.31209740499472133
2025-01-01,AUS,-0.17857775520274585,-0.22839250175340883
2006-01-01,AUT,0.6905146782177082,0.6905146782177082
2007-01-01,AUT,0.6821742577298948,0.6863444679738016
2008-01-01,AUT,0.5398483385632356,0.6375124248369461
2009-01-01,AUT,-0.6377896428069397,0.3186869079259747
2010-01-01,AUT,-0.40838583201694256,0.17327235993739126
2011-01-01,AUT,-0.3009482558328714,0.09423559064234747
2012-01-01,AUT,-0.26676445044327984,0.042664156201543575
2013-01-01,AUT,-0.17065631920676583,0.0159990967755049
2014-01-01,AUT,-0.020346240953803087,0.011960725916692902
2015-01-01,AUT,0.5137787025920253,0.06214252358422614
2016-01-01,AUT,0.06349243736719357,0.06226524301904136
2017-01-01,AUT,-0.6185708546357414,0.005528901547809467
2018-01-01,AUT,-0.7886423683856372,-0.11773418566913597
2019-01-01,AUT,-0.3674070041990072,-0.20519929082987778
2020-01-01,AUT,-0.32812091329719967,-0.2775300618182474
2021-01-01,AUT,-0.007122115290634089,-0.22497443452522195
2022-01-01,AUT,-0.09273025256246101,-0.19866980290401517
2023-01-01,AUT,0.25087357139117644,-0.15268465063534448
2024-01-01,AUT,0.6968351127460735,-0.07238468703623173
2025-01-01,AUT,-0.17546516857419325,-0.07278542448351734
2006-01-01,BEL,0.6814808602676378,0.6814808602676378
2007-01-01,BEL,0.9779265876373742,0.829703723952506
2008-01-01,BEL,1.0094302722947166,0.8896125733999095
2009-01-01,BEL,-1.0543971585101939,0.4036101404223837
2010-01-01,BEL,-0.11856662114439735,0.2991747881090275
2011-01-01,BEL,0.02798933573036419,0.2539772127125836
2012-01-01,BEL,0.2808404463848725,0.2578148175229106
