country,CRI_equal_weights_0_to_100,CRI_economic_focus_0_to_100,CRI_governance_focus_0_to_100,CRI_sovereign_focus_0_to_100,CRI_trade_focus_0_to_100,CRI_pca_weights_0_to_100
Papua New Guinea,70.57298906618479,70.62237972931251,71.5828028615649,63.90780766488853,74.67466365004618,58.61595608332875
Pitcairn Islands,55.548773735367476,55.62338122937999,56.03848581488733,53.529586145979465,55.562658312207724,53.852111733326446
Eswatini,58.44998620683987,58.519724269561415,64.76104024149258,55.59468992298849,53.281104057534066,63.761240520531224
Estonia,41.46860053854392,39.81092922941097,33.76985606012266,36.5900576519711,54.78806071115676,21.98569635366277
Eritrea,88.68394222740163,88.70293524027123,96.54768021225487,77.11543595104479,90.52836161641092,77.65628636724703
Peru,56.62015819763465,56.692967466568334,58.776809635576775,54.985980451213166,54.465661821919966,57.9042734189654
Falkland Islands,68.49580445964499,68.54868149539094,65.72604684432964,62.745375169590055,75.56424284504615,54.01001147946201
Ethiopia,76.24429956623099,76.2841714308973,81.0882629259162,68.26080937790428,77.66103582896503,66.97744321334514
Paraguay,68.40854221994003,68.46156571772029,67.37623476933712,64.24855177590668,71.95986220667609,59.937151677159896
Philippines,64.97742467332573,65.03620700170136,63.99011440663415,58.87966440407191,70.68036084422299,51.36948721793365
Myanmar (Burma),49.944374319643856,50.028388307717144,51.84501763446613,49.540334577856896,46.90454425836612,53.79466545701721
Latvia,46.3056926163166,46.18359356101423,40.33698764168267,42.25140142597756,55.61603694719,29.37535282491638
Burkina Faso,75.1032099906918,75.14499707437069,79.11511082159224,67.44857366076091,77.05372005410443,65.64311690862857
Argentina,84.00496623329994,84.03181249798732,78.7143034034308,83.70444608699752,87.33119212351664,77.22000282729255
Hong Kong,28.778976984042703,28.898515239671337,26.297651606512996,22.494319862586533,37.231824495046006,11.741175606679342
Sweden,26.628323340892667,26.218524217071,20.282704428094526,23.436438372946622,36.18625233417881,10.616612935346751
Moldova,60.8279659524818,60.89371278426232,60.80478416862175,64.59502275229167,54.94567343276433,68.82054162670012
Lithuania,45.486004788905696,44.53828881173693,37.888328691287555,40.73999205719899,57.89126068138313,26.213180099468165
Kiribati,56.751097203131664,56.823686702401176,52.28417538913154,54.38540858534956,62.22452298044151,46.51969281202426
Bulgaria,47.4684924683642,47.56081159284677,47.52456245767092,47.56021648692409,45.860397138667544,48.456846837487525
Hungary,42.86087795406189,43.082464948542324,42.141686884263144,44.22858192749947,40.70230163724028,46.09249924939569
Uruguay,48.426184710986966,48.51274684748395,41.94271733841736,46.446053997959254,55.79403538501617,35.96878377148548
Switzerland,31.78649418137359,30.950696047446414,22.107437583095287,27.108061251269945,46.57855022601133,9.130346100924339
Brunei Darussalam,44.64162996729384,44.73454414779742,39.99450515913644,45.765803240276604,46.850082804121726,40.99677574039201
